full_journey,nb_parcours
SEO,2480
DIRECT_ACCESS,1819
SEA_Google_M,890
SEO-SEO,552
DIRECT_ACCESS-DIRECT_ACCESS,295
AD_EXCHANGE_appnexus,231
SEO-SEO-SEO,228
SEA_Google_M-SEA_Google_M,206
AD_EXCHANGE_appnexus-SEO,191
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,146
email_auto-DIRECT_ACCESS,142
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,131
SEA_Bing_M,104
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,98
DIRECT_ACCESS-SEO,97
SEO-SEO-SEO-SEO,95
AD_EXCHANGE_appnexus-DIRECT_ACCESS,88
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,85
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,84
SEO-DIRECT_ACCESS,83
SEA_Google_M-SEA_Google_M-SEA_Google_M,81
REFERRAL,74
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,71
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,69
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,63
email_auto-email_auto,61
email_auto,59
SEO-AD_EXCHANGE_appnexus-SEO,56
AFFILIATION,56
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,56
SEO-SEO-SEO-SEO-SEO,51
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,50
AD_EXCHANGE_appnexus-SEO-SEO,49
SEA_Google_HM,47
email_auto-email_auto-DIRECT_ACCESS,45
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,45
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,44
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,44
email_auto-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,43
AFFILIATION-AFFILIATION,42
SEO-SEO-SEO-SEO-SEO-SEO,40
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,39
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,39
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-DIRECT_ACCESS,38
email_auto-email_auto-email_auto,35
SEA_Google_M-SEA_Google_M-SEA_Google_M-SEA_Google_M,35
AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus,33
SEO-AD_EXCHANGE_appnexus,32
SEO-AD_EXCHANGE_appnexus-AD_EXCHANGE_appnexus-SEO,30
REFERRAL-REFERRAL,29
DIRECT_ACCESS-DIRECT_ACCESS-SEO,26
SEO-SEO-SEO-SEO-SEO-SEO-SEO,26
DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS-DIRECT_ACCESS,25
DIRECT_ACCESS-SEO-SEO,24
